12FF, , 13FM, , 14FF, , 15FM, , 18FM, , 19FM, , 20FM, , 22FM, 
0.871526308, 584.8293685, 0.932117882, 625.1759535, 0.623112067, 682.4690279, 0.809646837, 668.4049056, 0.222623722, 771.3305043, 0.368867102, 679.2254478, 0.114408382, 713.3826811, 0.323075571, 705.1553214
0.904905569, 597.4937202, 0.969424757, 626.3164808, 0.660921915, 686.5688546, 0.844139939, 683.6768824, 0.235956886, 787.6448185, 0.386120351, 691.5730468, 0.1263438, 727.4249155, 0.350864734, 719.9482428
0.93928329, 610.2449282, 1.006735031, 627.2223738, 0.698734508, 691.0170827, 0.880057735, 699.0881817, 0.252812371, 803.2102944, 0.399218874, 706.6131567, 0.136004319, 742.9710715, 0.384015368, 735.4048832
0.973653013, 622.4566019, 1.044024903, 629.5360733, 0.736538865, 694.4201063, 0.912614377, 714.698388, 0.272985528, 819.4526684, 0.414065401, 723.3595469, 0.152623612, 759.1593513, 0.421827985, 746.3001518
1.008049126, 636.4487389, 1.081316476, 631.7324556, 0.774332239, 696.4295237, 0.952632217, 725.5797437, 0.300668802, 833.9073674, 0.436312845, 740.6018953, 0.171777898, 773.9582403, 0.459604492, 753.8840925
1.042411652, 648.1748316, 1.118609748, 633.8115207, 0.812119208, 697.6260043, 0.990646751, 731.1977352, 0.32904165, 848.7286493, 0.458821189, 755.9068919, 0.195675296, 788.6878305, 0.497366057, 760.0978285
1.075768842, 659.3500686, 1.15589792, 636.2425374, 0.849898856, 697.8934142, 1.028624113, 733.7006781, 0.367579547, 860.9056448, 0.481949433, 770.4522746, 0.222577494, 803.9144608, 0.535107698, 764.4846251
1.111257833, 670.1883348, 1.193170789, 639.729409, 0.887676673, 697.9285563, 1.066546405, 731.588734, 0.405295826, 871.4761506, 0.510312192, 782.4347682, 0.248302725, 819.7217676, 0.572834398, 767.501217
1.145623922, 680.6762771, 1.230447059, 642.9816463, 0.925437102, 695.7571555, 1.104427394, 726.0156247, 0.443198408, 878.5889373, 0.542691158, 795.5380621, 0.278642717, 834.1890515, 0.610548645, 769.3759717
1.179108078, 692.2852347, 1.267726729, 645.9992491, 0.963196616, 693.4696208, 1.142301499, 719.8656546, 0.481049477, 883.3527736, 0.58052838, 806.9381735, 0.308618975, 850.6399002, 0.648259157, 770.9081753
1.214161105, 702.5429743, 1.304989397, 650.190024, 1.000957045, 691.2982199, 1.180171475, 713.3695679, 0.518833581, 885.0629743, 0.616614527, 817.2309895, 0.340529851, 866.1912556, 0.685928578, 768.6723161
1.249330853, 711.064688, 1.342229962, 655.9059228, 1.038720219, 689.4752206, 1.218068985, 709.1809247, 0.556584202, 885.2463573, 0.652707144, 826.2621139, 0.374422319, 882.1925309, 0.723579321, 764.7237011
1.280633227, 718.1599839, 1.379477328, 661.1525527, 1.076465091, 685.3295445, 1.25594309, 703.0309546, 0.594332247, 885.3122927, 0.688814466, 832.4257571, 0.409982782, 897.0807915, 0.761216366, 759.5190653
